,0,1,2
2019-11-01,V,II,IV
2019-11-02,IV,V,II
2019-11-03,V,III,IV
2019-11-04,II,IV,V
2019-11-05,III,II,I
2019-11-06,III,V,IV
2019-11-07,IV,II,III
2019-11-08,III,V,IV
2019-11-09,V,IV,III
2019-11-10,I,IV,III
2019-11-11,V,II,III
2019-11-12,V,III,IV
2019-11-13,III,II,IV
2019-11-14,V,I,III
2019-11-15,I,II,V
2019-11-16,III,I,V
2019-11-17,III,II,I
2019-11-18,V,III,II
2019-11-19,IV,II,V
2019-11-20,I,IV,V
2019-11-21,III,IV,I
2019-11-22,V,IV,II
2019-11-23,V,II,I
2019-11-24,I,V,IV
2019-11-25,IV,II,I
2019-11-26,I,IV,II
2019-11-27,III,V,IV
2019-11-28,I,IV,III
2019-11-29,IV,II,III
2019-11-30,IV,III,II
